word,first,last,len,prefix,cls,suffix
adrienne,a,e,8,r,ie,n
adulteries,a,s,10,r,ie,s
advenience,a,e,10,n,ie,n
advenient,a,t,9,n,ie,n
adversaries,a,s,11,r,ie,s
adversities,a,s,11,t,ie,s
advisories,a,s,10,r,ie,s
advocacies,a,s,10,c,ie,s
aedilities,a,s,10,t,ie,s
aeipathy,a,y,8,a,ei,p
aeneid,a,d,6,n,ei,d
aeolsklavier,a,r,12,v,ie,r
aerie,a,e,5,r,ie,
aeried,a,d,6,r,ie,d
aerier,a,r,6,r,ie,r
aeries,a,s,6,r,ie,s
aeriest,a,t,7,r,ie,s
aerified,a,d,8,f,ie,d
aerifies,a,s,8,f,ie,s
aerographies,a,s,12,h,ie,s
aerologies,a,s,10,g,ie,s
aeronomies,a,s,10,m,ie,s
aeroview,a,w,8,v,ie,w
aetiologies,a,s,11,g,ie,s
affeir,a,r,6,f,ei,r
affied,a,d,6,f,ie,d
affies,a,s,6,f,ie,s
affinities,a,s,10,t,ie,s
affreight,a,t,9,r,ei,g
affreighter,a,r,11,r,ei,g
affreightment,a,t,13,r,ei,g
affriended,a,d,10,r,ie,n
afield,a,d,6,f,ie,l
afterbodies,a,s,11,d,ie,s
afterfriend,a,d,11,r,ie,n
aftergrief,a,f,10,r,ie,f
afterpiece,a,e,10,p,ie,c
agacerie,a,e,8,r,ie,
agapeic,a,c,7,p,ei,c
agapeically,a,y,11,p,ei,c
ageing,a,g,6,g,ei,n
ageings,a,s,7,g,ei,n
ageism,a,m,6,g,ei,s
ageisms,a,s,7,g,ei,s
ageist,a,t,6,g,ei,s
ageists,a,s,7,g,ei,s
agencies,a,s,8,c,ie,s
agentries,a,s,9,r,ie,s
aggie,a,e,5,g,ie,
aggies,a,s,6,g,ie,s
aggrievance,a,e,11,r,ie,v
aggrieve,a,e,8,r,ie,v
aggrieved,a,d,9,r,ie,v
aggrievedly,a,y,11,r,ie,v
aggrievedness,a,s,13,r,ie,v
aggrievement,a,t,12,r,ie,v
aggrieves,a,s,9,r,ie,v
aggrieving,a,g,10,r,ie,v
agiel,a,l,5,g,ie,l
agyieus,a,s,7,y,ie,u
agilities,a,s,9,t,ie,s
agonied,a,d,7,n,ie,d
agonies,a,s,7,n,ie,s
agouties,a,s,8,t,ie,s
agreeing,a,g,8,e,ei,n
agreeingly,a,y,10,e,ei,n
agreing,a,g,7,r,ei,n
agrief,a,f,6,r,ie,f
agrimonies,a,s,10,n,ie,s
agrologies,a,s,10,g,ie,s
agronomies,a,s,10,m,ie,s
agrostographies,a,s,15,h,ie,s
aguamiel,a,l,8,m,ie,l
aguardiente,a,e,11,d,ie,n
aheight,a,t,7,h,ei,g
aiel,a,l,4,a,ie,l
aiery,a,y,5,a,ie,r
aiguiere,a,e,8,u,ie,r
ayield,a,d,6,y,ie,l
ailie,a,e,5,l,ie,
airfield,a,d,8,f,ie,l
airfields,a,s,9,f,ie,l
airfreight,a,t,10,r,ei,g
airfreighter,a,r,12,r,ei,g
airier,a,r,6,r,ie,r
airiest,a,t,7,r,ie,s
airified,a,d,8,f,ie,d
airview,a,w,7,v,ie,w
airworthier,a,r,11,h,ie,r
airworthiest,a,t,12,h,ie,s
aischrolatreia,a,a,14,r,ei,a
aitchpiece,a,e,10,p,ie,c
ayuntamiento,a,o,12,m,ie,n
ayuntamientos,a,s,13,m,ie,n
akenobeite,a,e,10,b,ei,t
aktiebolag,a,g,10,t,ie,b
alacrities,a,s,10,t,ie,s
albeit,a,t,6,b,ei,t
albified,a,d,8,f,ie,d
alchemies,a,s,9,m,ie,s
alchymies,a,s,9,m,ie,s
aldeia,a,a,6,d,ei,a
alderflies,a,s,10,l,ie,s
alderliefest,a,t,12,l,ie,f
aldermanries,a,s,12,r,ie,s
aleikoum,a,m,8,l,ei,k
aleikum,a,m,7,l,ei,k
aleiptes,a,s,8,l,ei,p
aleiptic,a,c,8,l,ei,p
alethopteis,a,s,11,t,ei,s
alexandreid,a,d,11,r,ei,d
algefacient,a,t,11,c,ie,n
algerienne,a,e,10,r,ie,n
algidities,a,s,10,t,ie,s
algieba,a,a,7,g,ie,b
algiers,a,s,7,g,ie,r
algologies,a,s,10,g,ie,s
alibied,a,d,7,b,ie,d
alibies,a,s,7,b,ie,s
alien,a,n,5,l,ie,n
alienability,a,y,12,l,ie,n
alienabilities,a,s,14,l,ie,n
alienabilities,a,s,14,t,ie,s
alienable,a,e,9,l,ie,n
alienage,a,e,8,l,ie,n
alienages,a,s,9,l,ie,n
alienate,a,e,8,l,ie,n
alienated,a,d,9,l,ie,n
alienates,a,s,9,l,ie,n
alienating,a,g,10,l,ie,n
alienation,a,n,10,l,ie,n
alienator,a,r,9,l,ie,n
aliency,a,y,7,l,ie,n
aliene,a,e,6,l,ie,n
aliened,a,d,7,l,ie,n
alienee,a,e,7,l,ie,n
alienees,a,s,8,l,ie,n
aliener,a,r,7,l,ie,n
alieners,a,s,8,l,ie,n
alienicola,a,a,10,l,ie,n
alienicolae,a,e,11,l,ie,n
alienigenate,a,e,12,l,ie,n
aliening,a,g,8,l,ie,n
alienism,a,m,8,l,ie,n
alienisms,a,s,9,l,ie,n
alienist,a,t,8,l,ie,n
alienists,a,s,9,l,ie,n
alienize,a,e,8,l,ie,n
alienly,a,y,7,l,ie,n
alienness,a,s,9,l,ie,n
alienor,a,r,7,l,ie,n
alienors,a,s,8,l,ie,n
aliens,a,s,6,l,ie,n
alienship,a,p,9,l,ie,n
aliesterase,a,e,11,l,ie,s
aliet,a,t,5,l,ie,t
aliethmoid,a,d,10,l,ie,t
aliethmoidal,a,l,12,l,ie,t
alimonied,a,d,9,n,ie,d
alimonies,a,s,9,n,ie,s
alisier,a,r,7,s,ie,r
alkalies,a,s,8,l,ie,s
alkalified,a,d,10,f,ie,d
alkalifies,a,s,10,f,ie,s
alkalinities,a,s,12,t,ie,s
alkies,a,s,6,k,ie,s
allegories,a,s,10,r,ie,s
allergies,a,s,9,g,ie,s
alliciency,a,y,10,c,ie,n
allicient,a,t,9,c,ie,n
allie,a,e,5,l,ie,
allied,a,d,6,l,ie,d
allies,a,s,6,l,ie,s
allocaffeine,a,e,12,f,ei,n
allocheiria,a,a,11,h,ei,r
allodiaries,a,s,11,r,ie,s
allodies,a,s,8,d,ie,s
allogamies,a,s,10,m,ie,s
allogeneic,a,c,10,n,ei,c
allogeneity,a,y,11,n,ei,t
allopathies,a,s,11,h,ie,s
allotheism,a,m,10,h,ei,s
allotheist,a,t,10,h,ei,s
allotheistic,a,c,12,h,ei,s
allotypies,a,s,10,p,ie,s
allotropies,a,s,11,p,ie,s
alloxyproteic,a,c,13,t,ei,c
almadie,a,e,7,d,ie,
almeidina,a,a,9,m,ei,d
almeries,a,s,8,r,ie,s
almonries,a,s,9,r,ie,s
alnein,a,n,6,n,ei,n
alodiaries,a,s,10,r,ie,s
alodies,a,s,7,d,ie,s
alpieu,a,u,6,p,ie,u
alqueire,a,e,8,u,ei,r
alquier,a,r,7,u,ie,r
alsweill,a,l,8,w,ei,l
altarpiece,a,e,10,p,ie,c
altarpieces,a,s,11,p,ie,c
althaein,a,n,8,a,ei,n
althein,a,n,7,h,ei,n
altheine,a,e,8,h,ei,n
altiplanicie,a,e,12,c,ie,
alvearies,a,s,9,r,ie,s
alzheimer,a,r,9,h,ei,m
amatories,a,s,9,r,ie,s
ambaries,a,s,8,r,ie,s
amberies,a,s,8,r,ie,s
ambidexterities,a,s,15,t,ie,s
ambience,a,e,8,b,ie,n
ambiences,a,s,9,b,ie,n
ambiency,a,y,8,b,ie,n
ambiens,a,s,7,b,ie,n
ambient,a,t,7,b,ie,n
ambients,a,s,8,b,ie,n
ambier,a,r,6,b,ie,r
ambiguities,a,s,11,t,ie,s
ambisexualities,a,s,15,t,ie,s
ambitendencies,a,s,14,c,ie,s
ambreic,a,c,7,r,ei,c
ambrein,a,n,7,r,ei,n
ambries,a,s,7,r,ie,s
ambulatories,a,s,12,r,ie,s
ameiosis,a,s,8,m,ei,o
ameiotic,a,c,8,m,ei,o
ameiuridae,a,e,10,m,ei,u
ameiurus,a,s,8,m,ei,u
ameiva,a,a,6,m,ei,v
amelanchier,a,r,11,h,ie,r
amenities,a,s,9,t,ie,s
amenorrheic,a,c,11,h,ei,c
amenorrhoeic,a,c,12,o,ei,c
amerveil,a,l,8,v,ei,l
amicabilities,a,s,13,t,ie,s
amidocaffeine,a,e,13,f,ei,n
amie,a,e,4,m,ie,
amies,a,s,5,m,ie,s
aminities,a,s,9,t,ie,s
amioidei,a,i,8,d,ei,
amitie,a,e,6,t,ie,
amities,a,s,7,t,ie,s
ammoniemia,a,a,10,n,ie,m
ammonified,a,d,10,f,ie,d
ammonifier,a,r,10,f,ie,r
ammonifies,a,s,10,f,ie,s
amnestied,a,d,9,t,ie,d
amnesties,a,s,9,t,ie,s
amoebobacterieae,a,e,16,r,ie,a
ampangabeite,a,e,12,b,ei,t
amphibiety,a,y,10,b,ie,t
amphibolies,a,s,11,l,ie,s
amphibologies,a,s,13,g,ie,s
amphictyonies,a,s,13,n,ie,s
amphierotic,a,c,11,h,ie,r
amphierotism,a,m,12,h,ie,r
amphigories,a,s,11,r,ie,s
amplified,a,d,9,f,ie,d
amplifier,a,r,9,f,ie,r
amplifiers,a,s,10,f,ie,r
amplifies,a,s,9,f,ie,s
amueixa,a,a,7,u,ei,x
anaerobies,a,s,10,b,ie,s
anagogies,a,s,9,g,ie,s
anaheim,a,m,7,h,ei,m
analyticities,a,s,13,t,ie,s
analities,a,s,9,t,ie,s
analogies,a,s,9,g,ie,s
anapeiratic,a,c,11,p,ei,r
anapneic,a,c,8,n,ei,c
anapnoeic,a,c,9,o,ei,c
anapodeictic,a,c,12,d,ei,c
anarchies,a,s,9,h,ie,s
anaseismic,a,c,10,s,ei,s
anatomies,a,s,9,m,ie,s
ancestries,a,s,10,r,ie,s
anchietea,a,a,9,h,ie,t
anchietin,a,n,9,h,ie,t
anchietine,a,e,10,h,ie,t
anchieutectic,a,c,13,h,ie,u
anchovies,a,s,9,v,ie,s
ancien,a,n,6,c,ie,n
ancience,a,e,8,c,ie,n
anciency,a,y,8,c,ie,n
anciennete,a,e,10,c,ie,n
anciens,a,s,7,c,ie,n
ancient,a,t,7,c,ie,n
ancienter,a,r,9,c,ie,n
ancientest,a,t,10,c,ie,n
ancienty,a,y,8,c,ie,n
ancientism,a,m,10,c,ie,n
anciently,a,y,9,c,ie,n
ancientness,a,s,11,c,ie,n
ancientry,a,y,9,c,ie,n
ancients,a,s,8,c,ie,n
ancillaries,a,s,11,r,ie,s
anconei,a,i,7,n,ei,
andries,a,s,7,r,ie,s
androgyneity,a,y,12,n,ei,t
androgynies,a,s,11,n,ie,s
anergies,a,s,8,g,ie,s
anesthesiologies,a,s,16,g,ie,s
angaries,a,s,8,r,ie,s
angie,a,e,5,g,ie,
angiectasis,a,s,11,g,ie,c
angiectopia,a,a,11,g,ie,c
angiemphraxis,a,s,13,g,ie,m
angiocardiographies,a,s,19,h,ie,s
angiopoietic,a,c,12,o,ie,t
angrier,a,r,7,r,ie,r
angriest,a,t,8,r,ie,s
angularities,a,s,12,t,ie,s
anhaematopoiesis,a,s,16,o,ie,s
anhematopoiesis,a,s,15,o,ie,s
anybodies,a,s,9,d,ie,s
aniellidae,a,e,10,n,ie,l
aniente,a,e,7,n,ie,n
anientise,a,e,9,n,ie,n
anilities,a,s,9,t,ie,s
animalier,a,r,9,l,ie,r
animalities,a,s,11,t,ie,s
animosities,a,s,11,t,ie,s
animotheism,a,m,11,h,ei,s
aniseikonia,a,a,11,s,ei,k
aniseikonic,a,c,11,s,ei,k
anisotropies,a,s,12,p,ie,s
ankylocheilia,a,a,13,h,ei,l
ankylopoietic,a,c,13,o,ie,t
annie,a,e,5,n,ie,
anniellidae,a,e,11,n,ie,l
anniversaries,a,s,13,r,ie,s
annuities,a,s,9,t,ie,s
anomalies,a,s,9,l,ie,s
anomie,a,e,6,m,ie,
anomies,a,s,7,m,ie,s
anonymities,a,s,11,t,ie,s
anorexies,a,s,9,x,ie,s
ansarie,a,e,7,r,ie,
anseis,a,s,6,s,ei,s
antalkalies,a,s,11,l,ie,s
anteing,a,g,7,t,ei,n
anteinitial,a,l,11,t,ei,n
anteroparietal,a,l,14,r,ie,t
antevenient,a,t,11,n,ie,n
antheia,a,a,7,h,ei,a
anthologies,a,s,11,g,ie,s
anthropologies,a,s,14,g,ie,s
anthropomorphotheist,a,t,20,h,ei,s
anthropotheism,a,m,14,h,ei,s
anthropotheist,a,t,14,h,ei,s
anthropotheistic,a,c,16,h,ei,s
antialien,a,n,9,l,ie,n
antiantienzyme,a,e,14,t,ie,n
antianxiety,a,y,11,x,ie,t
antiaristocracies,a,s,17,c,ie,s
antiatheism,a,m,11,h,ei,s
antiatheist,a,t,11,h,ei,s
antiatheistic,a,c,13,h,ei,s
antiatheistical,a,l,15,h,ei,s
antiatheistically,a,y,17,h,ei,s
antibodies,a,s,10,d,ie,s
anticonformities,a,s,16,t,ie,s
anticonscience,a,e,14,c,ie,n
anticourtier,a,r,12,t,ie,r
antidemocracies,a,s,15,c,ie,s
antiecclesiastic,a,c,16,t,ie,c
antiecclesiastical,a,l,18,t,ie,c
antiecclesiastically,a,y,20,t,ie,c
antiecclesiasticism,a,m,19,t,ie,c
antiedemic,a,c,10,t,ie,d
antieducation,a,n,13,t,ie,d
antieducational,a,l,15,t,ie,d
antieducationalist,a,t,18,t,ie,d
antieducationally,a,y,17,t,ie,d
antieducationist,a,t,16,t,ie,d
antiegoism,a,m,10,t,ie,g
antiegoist,a,t,10,t,ie,g
antiegoistic,a,c,12,t,ie,g
antiegoistical,a,l,14,t,ie,g
antiegoistically,a,y,16,t,ie,g
antiegotism,a,m,11,t,ie,g
antiegotist,a,t,11,t,ie,g
antiegotistic,a,c,13,t,ie,g
antiegotistical,a,l,15,t,ie,g
antiegotistically,a,y,17,t,ie,g
antieyestrain,a,n,13,t,ie,y
antiejaculation,a,n,15,t,ie,j
antielectron,a,n,12,t,ie,l
antielectrons,a,s,13,t,ie,l
antiemetic,a,c,10,t,ie,m
antiemperor,a,r,11,t,ie,m
antiempiric,a,c,11,t,ie,m
antiempirical,a,l,13,t,ie,m
antiempirically,a,y,15,t,ie,m
antiempiricism,a,m,14,t,ie,m
antiempiricist,a,t,14,t,ie,m
antiendotoxin,a,n,13,t,ie,n
antiendowment,a,t,13,t,ie,n
antienergistic,a,c,14,t,ie,n
antient,a,t,7,t,ie,n
antienthusiasm,a,m,14,t,ie,n
antienthusiast,a,t,14,t,ie,n
antienthusiastic,a,c,16,t,ie,n
antienthusiastically,a,y,20,t,ie,n
antienvironmentalism,a,m,20,t,ie,n
antienvironmentalist,a,t,20,t,ie,n
antienvironmentalists,a,s,21,t,ie,n
antienzymatic,a,c,13,t,ie,n
antienzyme,a,e,10,t,ie,n
antienzymic,a,c,11,t,ie,n
antiepicenter,a,r,13,t,ie,p
antiepileptic,a,c,13,t,ie,p
antiepiscopal,a,l,13,t,ie,p
antiepiscopist,a,t,14,t,ie,p
antiepithelial,a,l,14,t,ie,p
antierysipelas,a,s,14,t,ie,r
antierosion,a,n,11,t,ie,r
antierosive,a,e,11,t,ie,r
antiestablishment,a,t,17,t,ie,s
antietam,a,m,8,t,ie,t
antiethnic,a,c,10,t,ie,t
antieugenic,a,c,11,t,ie,u
antievangelical,a,l,15,t,ie,v
antievolution,a,n,13,t,ie,v
antievolutional,a,l,15,t,ie,v
antievolutionally,a,y,17,t,ie,v
antievolutionary,a,y,16,t,ie,v
antievolutionist,a,t,16,t,ie,v
antievolutionistic,a,c,18,t,ie,v
antiexpansion,a,n,13,t,ie,x
antiexpansionism,a,m,16,t,ie,x
antiexpansionist,a,t,16,t,ie,x
antiexporting,a,g,13,t,ie,x
antiexpressionism,a,m,17,t,ie,x
antiexpressionist,a,t,17,t,ie,x
antiexpressionistic,a,c,19,t,ie,x
antiexpressive,a,e,14,t,ie,x
antiexpressively,a,y,16,t,ie,x
antiexpressiveness,a,s,18,t,ie,x
antiextreme,a,e,11,t,ie,x
antifideism,a,m,11,d,ei,s
antiforeign,a,n,11,r,ei,g
antiforeignism,a,m,14,r,ei,g
antigonorrheic,a,c,14,h,ei,c
antihemorrheidal,a,l,16,h,ei,d
antihierarchal,a,l,14,h,ie,r
antihierarchy,a,y,13,h,ie,r
antihierarchic,a,c,14,h,ie,r
antihierarchical,a,l,16,h,ie,r
antihierarchically,a,y,18,h,ie,r
antihierarchies,a,s,15,h,ie,r
antihierarchies,a,s,15,h,ie,s
antihierarchism,a,m,15,h,ie,r
antihierarchist,a,t,15,h,ie,r
antihygienic,a,c,12,g,ie,n
antihygienically,a,y,16,g,ie,n
antiinflammatories,a,s,18,r,ie,s
antilogies,a,s,10,g,ie,s
antimallein,a,n,11,l,ei,n
antimedieval,a,l,12,d,ie,v
antimedievalism,a,m,15,d,ie,v
antimedievalist,a,t,15,d,ie,v
antimedievally,a,y,14,d,ie,v
antimonies,a,s,10,n,ie,s
antinomies,a,s,10,m,ie,s
antipathies,a,s,11,h,ie,s
antiphilosophies,a,s,16,h,ie,s
antiphonaries,a,s,13,r,ie,s
antiphonies,a,s,11,n,ie,s
antipleion,a,n,10,l,ei,o
antipriest,a,t,10,r,ie,s
antipriestcraft,a,t,15,r,ie,s
antipriesthood,a,d,14,r,ie,s
antiquaries,a,s,11,r,ie,s
antiquities,a,s,11,t,ie,s
antirabies,a,s,10,b,ie,s
antireactionaries,a,s,17,r,ie,s
antirevolutionaries,a,s,19,r,ie,s
antiscience,a,e,11,c,ie,n
antiscientific,a,c,14,c,ie,n
antiscientifically,a,y,18,c,ie,n
antiseismic,a,c,11,s,ei,s
antitheism,a,m,10,h,ei,s
antitheist,a,t,10,h,ei,s
antitheistic,a,c,12,h,ei,s
antitheistical,a,l,14,h,ei,s
antitheistically,a,y,16,h,ei,s
antiturnpikeism,a,m,15,k,ei,s
antonymies,a,s,10,m,ie,s
antsier,a,r,7,s,ie,r
antsiest,a,t,8,s,ie,s
anukabiet,a,t,9,b,ie,t
anxiety,a,y,7,x,ie,t
anxieties,a,s,9,x,ie,t
anxieties,a,s,9,,ie,s
anxietude,a,e,9,x,ie,t
aortographies,a,s,13,h,ie,s
apartheid,a,d,9,h,ei,d
apatheia,a,a,8,h,ei,a
apathies,a,s,8,h,ie,s
apeiron,a,n,7,p,ei,r
apeirophobia,a,a,12,p,ei,r
aperient,a,t,8,r,ie,n
aperients,a,s,9,r,ie,n
aperies,a,s,7,r,ie,s
apetalies,a,s,9,l,ie,s
aphyllies,a,s,9,l,ie,s
apiararies,a,s,10,r,ie,s
apiaries,a,s,8,r,ie,s
apiece,a,e,6,p,ie,c
apieces,a,s,7,p,ie,c
apiologies,a,s,10,g,ie,s
apneic,a,c,6,n,ei,c
apnoeic,a,c,7,o,ei,c
apocaffeine,a,e,11,f,ei,n
apocarpies,a,s,10,p,ie,s
apocodeine,a,e,10,d,ei,n
apodedeipna,a,a,11,d,ei,p
apodeictic,a,c,10,d,ei,c
apodeictical,a,l,12,d,ei,c
apodeictically,a,y,14,d,ei,c
apodeipna,a,a,9,d,ei,p
apodeipnon,a,n,10,d,ei,p
apodeixis,a,s,9,d,ei,x
apogaeic,a,c,8,a,ei,c
apogamies,a,s,9,m,ie,s
apogeic,a,c,7,g,ei,c
apologies,a,s,9,g,ie,s
apophonies,a,s,10,n,ie,s
apoplexies,a,s,10,x,ie,s
aporrhiegma,a,a,11,h,ie,g
apospories,a,s,10,r,ie,s
apostacies,a,s,10,c,ie,s
apostasies,a,s,10,s,ie,s
apostrophied,a,d,12,h,ie,d
apothecarcaries,a,s,15,r,ie,s
apothecaries,a,s,12,r,ie,s
apparencies,a,s,11,c,ie,s
appendectomies,a,s,14,m,ie,s
appendicectomies,a,s,16,m,ie,s
apperceive,a,e,10,c,ei,v
apperceived,a,d,11,c,ei,v
apperceiving,a,g,12,c,ei,v
appercipient,a,t,12,p,ie,n
appetencies,a,s,11,c,ie,s
appleringie,a,e,11,g,ie,
applicabilities,a,s,15,t,ie,s
applied,a,d,7,l,ie,d
appliedly,a,y,9,l,ie,d
applier,a,r,7,l,ie,r
appliers,a,s,8,l,ie,r
applies,a,s,7,l,ie,s
appliqueing,a,g,11,u,ei,n
aqueity,a,y,7,u,ei,t
arabesquerie,a,e,12,r,ie,
aralie,a,e,6,l,ie,
araneid,a,d,7,n,ei,d
araneida,a,a,8,n,ei,d
araneidal,a,l,9,n,ei,d
araneidan,a,n,9,n,ei,d
araneids,a,s,8,n,ei,d
araneiform,a,m,10,n,ei,f
araneiformes,a,s,12,n,ei,f
araneiformia,a,a,12,n,ei,f
aranein,a,n,7,n,ei,n
araneina,a,a,8,n,ei,n
arbalestrier,a,r,12,r,ie,r
arbitraries,a,s,11,r,ie,s
archchief,a,f,9,h,ie,f
archconfraternities,a,s,19,t,ie,s
archdeaconries,a,s,14,r,ie,s
archdeceiver,a,r,12,c,ei,v
archduchies,a,s,11,h,ie,s
archeion,a,n,8,h,ei,o
archenemies,a,s,11,m,ie,s
archeries,a,s,9,r,ie,s
archfiend,a,d,9,f,ie,n
archfiends,a,s,10,f,ie,n
archfriend,a,d,10,r,ie,n
archicleistogamy,a,y,16,l,ei,s
archicleistogamous,a,s,18,l,ei,s
archie,a,e,6,h,ie,
archiepiscopacy,a,y,15,h,ie,p
archiepiscopal,a,l,14,h,ie,p
archiepiscopality,a,y,17,h,ie,p
archiepiscopally,a,y,16,h,ie,p
archiepiscopate,a,e,15,h,ie,p
